rank,title,score,members,episodes,year,link,members_normalized,members_log,episodes_category
74,Tian Guan Cifu Er,8.66,50746,12.0,2023,https://myanimelist.net/anime/50399/Tian_Guan_Cifu_Er,0.005056603422772022,10.834607781856281,Série curta
75,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.65,368273,1.0,2020,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song,0.11859133083208695,12.81658250531729,1 Episódio
76,Mushishi,8.65,854795,26.0,2005,https://myanimelist.net/anime/457/Mushishi,0.2925517897808841,13.658618122958998,Série longa
77,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.65,996749,12.0,2021,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2,0.34330876066733435,13.812255265243602,Série curta
78,Odd Taxi,8.65,458492,13.0,2021,https://myanimelist.net/anime/46102/Odd_Taxi,0.1508499720567418,13.03570030338654,Série média
79,Made in Abyss,8.64,1438069,13.0,2017,https://myanimelist.net/anime/34599/Made_in_Abyss,0.5011068247698481,14.178812494798803,Série média
80,Natsume Yuujinchou Shi,8.64,252150,13.0,2012,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi,0.07707047386259497,12.437783393390324,Série média
81,Shigatsu wa Kimi no Uso,8.64,2276131,22.0,2014,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso,0.800763675123063,14.637988069031689,Série média
82,Haikyuu!! Movie: Gomisuteba no Kessen,8.64,159218,1.0,2024,https://myanimelist.net/anime/52742/Haikyuu_Movie__Gomisuteba_no_Kessen,0.04384177429499142,11.978035892004833,1 Episódio
83,Bungou Stray Dogs 5th Season,8.63,210061,11.0,2023,https://myanimelist.net/anime/54898/Bungou_Stray_Dogs_5th_Season,0.062021161073664725,12.255158004220654,Série curta
84,Shiguang Dailiren II,8.63,128229,12.0,2023,https://myanimelist.net/anime/49413/Shiguang_Dailiren_II,0.03276136958078677,11.761580805453162,Série curta
85,Shingeki no Kyojin Season 3,8.63,2460108,12.0,2018,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3,0.8665463598855668,14.715716215870023,Série curta
86,Tengen Toppa Gurren Lagann,8.63,1658331,27.0,2007,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann,0.5798635482252724,14.321322835886297,Série longa
87,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.62,1394038,12.0,2020,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,0.4853631318474838,14.147715846955732,Série curta
88,Made in Abyss: Retsujitsu no Ougonkyou,8.62,477980,12.0,2022,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou,0.15781808742253034,13.077326261729608,Série curta
89,Ping Pong the Animation,8.62,408200,11.0,2014,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation,0.13286760044466076,12.919514979134402,Série curta
